"Type","Sample","n","mean","sd","se","percent"
"human","X629",8,27.2375,3.22501716495986,1.14021575339307,0.111111111111111
"human","X731",9,25.7544444444444,3.33575745188072,1.11191915062691,0
"human","X1314",8,25.43,3.31834726504454,1.17321292672241,0.111111111111111
"human","X1700",9,27.2344444444444,3.12178278837234,1.04059426279078,0
"human","X2572",9,25.0166666666667,3.21300871458513,1.07100290486171,0
"human","X2741",9,26.0711111111111,3.02227747090023,1.00742582363341,0
"human","X2858",9,25.29,3.05914203658477,1.01971401219492,0
"human","X2910",9,24.1888888888889,3.40556325900887,1.13518775300296,0
"human","X2969",9,25.1011111111111,3.28823069615122,1.09607689871707,0
"human","X3544",9,27.4477777777778,3.25490697938427,1.08496899312809,0
"human","X3937",9,26.2666666666667,3.01339094708934,1.00446364902978,0
"human","X4428",7,31.1528571428571,2.36025926743733,0.892094150182096,0.222222222222222
"human","X4678",9,27.1877777777778,3.20522923430516,1.06840974476839,0
"human","X5485",8,27.5775,3.36245977140035,1.18880905291208,0.111111111111111
"human","X7121",9,27.3755555555556,3.38333825943812,1.12777941981271,0
"human","X8239",9,25.0833333333333,3.12355166437183,1.04118388812394,0
"KSHV","X629",32,35.6140625,1.94243588240592,0.343377396117325,0.783783783783784
"KSHV","X731",19,35.0142105263158,2.39841919186014,0.550235099029834,0.871621621621622
"KSHV","X1314",51,34.3705882352941,2.77571497943482,0.388677840464079,0.655405405405405
"KSHV","X1700",27,36.6637037037037,2.2583846305714,0.434626324798038,0.817567567567568
"KSHV","X2572",47,35.9551063829787,1.90355373873782,0.277661849916777,0.682432432432432
"KSHV","X2741",45,35.506,2.13300620124402,0.317969790827349,0.695945945945946
"KSHV","X2858",45,35.8108888888889,2.45714525990688,0.366289588782878,0.695945945945946
"KSHV","X2910",46,34.8076086956522,2.28247739166859,0.336532931506945,0.689189189189189
"KSHV","X2969",33,34.5560606060606,2.39043267447802,0.416120916693043,0.777027027027027
"KSHV","X3544",53,35.1924528301887,2.46611412305362,0.338746826704472,0.641891891891892
"KSHV","X3937",16,34.505,2.26652156398301,0.566630390995753,0.891891891891892
"KSHV","X4428",3,36.4833333333333,0.993092812043938,0.57336240236385,0.97972972972973
"KSHV","X4678",24,35.6004166666667,1.98484580315924,0.405154952987066,0.837837837837838
"KSHV","X5485",44,35.2770454545455,2.28819170967195,0.34495787951744,0.702702702702703
"KSHV","X7121",14,36.0392857142857,1.2535639303492,0.335029052841747,0.905405405405405
"KSHV","X8239",85,34.1832941176471,2.10089402071464,0.227873950871052,0.425675675675676
